Opening Record Report (0302),,,,,,,,,,
Event Ord.,Time,Flag,Card Type,Card No.,Holder,ID No.,Issuer,Time Issued,Modifier,Time Modified
1,19/06/2025 14:06:00,,Clock Card,,,,,,,
2,19/06/2025 14:06:00,,Clock Card,,,,,,,
3,19/06/2025 10:45:00,Latch bolt record,,,,,,,,
4,19/06/2025 10:45:00,Latch bolt record,,,,,,,,
5,19/06/2025 08:25:00,Latch bolt record,,,,,,,,
6,19/06/2025 08:25:00,,HSKP Card,10875,HOUSEKEEPING,HOUSEKEEPING,hotel,14/12/2024 04:38:48,hotel,07/01/2025 06:34:27
7,19/06/2025 00:59:00,Latch bolt record,,,,,,,,
8,19/06/2025 00:59:00,Latch bolt record,,,,,,,,
9,19/06/2025 00:59:00,Latch bolt record,,,,,,,,
10,19/06/2025 00:59:00,Latch bolt record,,,,,,,,
11,19/06/2025 00:59:00,Latch bolt record,,,,,,,,
12,19/06/2025 00:58:00,Latch bolt record,,,,,,,,
13,19/06/2025 00:58:00,Latch bolt record,,,,,,,,
14,19/06/2025 00:50:00,Latch bolt record,,,,,,,,
15,19/06/2025 00:49:00,Latch bolt record,,,,,,,,
16,19/06/2025 00:49:00,Latch bolt record,,,,,,,,
17,18/06/2025 23:56:00,Latch bolt record,,,,,,,,
18,18/06/2025 23:56:00,Latch bolt record,,,,,,,,
19,18/06/2025 23:56:00,Latch bolt record,,,,,,,,
20,18/06/2025 23:56:00,Latch bolt record,,,,,,,,
21,18/06/2025 23:17:00,Latch bolt record,,,,,,,,
22,18/06/2025 23:17:00,Latch bolt record,,,,,,,,
23,18/06/2025 23:17:00,Latch bolt record,,,,,,,,
24,18/06/2025 23:17:00,,Guest Card,13437,priangga otivapa,,rapih,18/06/2025 23:23:27,,
25,18/06/2025 22:54:00,Latch bolt record,,,,,,,,
26,18/06/2025 22:54:00,Latch bolt record,,,,,,,,
27,18/06/2025 22:17:00,Latch bolt record,,,,,,,,
28,18/06/2025 22:17:00,Latch bolt record,,,,,,,,
29,18/06/2025 21:49:00,Latch bolt record,,,,,,,,
30,18/06/2025 21:20:00,Latch bolt record,,,,,,,,
31,18/06/2025 21:20:00,,HSKP Card,10875,HOUSEKEEPING,HOUSEKEEPING,hotel,14/12/2024 04:38:48,hotel,07/01/2025 06:34:27
32,18/06/2025 21:16:00,Latch bolt record,,,,,,,,
33,18/06/2025 20:29:00,Latch bolt record,,,,,,,,
34,18/06/2025 20:29:00,,HSKP Card,10875,HOUSEKEEPING,HOUSEKEEPING,hotel,14/12/2024 04:38:48,hotel,07/01/2025 06:34:27
35,18/06/2025 11:16:00,Latch bolt record,,,,,,,,
36,18/06/2025 11:16:00,Latch bolt record,,,,,,,,
37,18/06/2025 11:10:00,Latch bolt record,,,,,,,,
38,18/06/2025 11:10:00,Latch bolt record,,,,,,,,
39,18/06/2025 11:10:00,Latch bolt record,,,,,,,,
40,18/06/2025 11:10:00,,HSKP Card,7516,Shift Midle,Shift Midle,yoga,14/05/2024 17:28:33,hotel,07/01/2025 06:34:42
41,17/06/2025 21:07:00,Latch bolt record,,,,,,,,
42,17/06/2025 20:51:00,Latch bolt record,,,,,,,,
43,17/06/2025 20:51:00,Latch bolt record,,,,,,,,
44,17/06/2025 20:51:00,,Master Card,60,Master,front office,hotel,07/01/2023 22:19:13,hotel,07/01/2025 06:33:52
45,16/06/2025 11:38:00,Latch bolt record,,,,,,,,
46,16/06/2025 09:35:00,Latch bolt record,,,,,,,,
47,16/06/2025 09:35:00,,HSKP Card,10875,HOUSEKEEPING,HOUSEKEEPING,hotel,14/12/2024 04:38:48,hotel,07/01/2025 06:34:27
48,16/06/2025 09:34:00,Latch bolt record,,,,,,,,
49,16/06/2025 09:21:00,Latch bolt record,,,,,,,,
50,16/06/2025 09:21:00,Latch bolt record,,,,,,,,
51,16/06/2025 09:21:00,,Guest Card,13395,maryanti,,vino,16/06/2025 02:00:50,,
52,16/06/2025 08:52:00,Latch bolt record,,,,,,,,
53,16/06/2025 08:52:00,Latch bolt record,,,,,,,,
54,16/06/2025 08:38:00,Latch bolt record,,,,,,,,
55,16/06/2025 08:38:00,Latch bolt record,,,,,,,,
56,16/06/2025 08:36:00,Latch bolt record,,,,,,,,
57,16/06/2025 08:36:00,Latch bolt record,,,,,,,,
58,16/06/2025 08:21:00,Latch bolt record,,,,,,,,
59,16/06/2025 08:21:00,Latch bolt record,,,,,,,,
60,16/06/2025 07:49:00,Latch bolt record,,,,,,,,
61,16/06/2025 07:49:00,Latch bolt record,,,,,,,,
