Opening Record Report (0101),,,,,,,,,,
Event Ord.,Time,Flag,Card Type,Card No.,Holder,ID No.,Issuer,Time Issued,Modifier,Time Modified
1,20/06/2025 10.52.00,,Clock Card,,,,,,,
2,20/06/2025 10.52.00,,Clock Card,,,,,,,
3,20/06/2025 10.45.00,,Parameter Card,,,,,,,
4,20/06/2025 10.45.00,,Parameter Card,,,,,,,
5,20/06/2025 10.44.00,,System Card,,,,,,,
6,20/06/2025 07.15.00,Double Locked record,,,,,,,,
7,20/06/2025 07.08.00,Latch bolt record,,,,,,,,
8,20/06/2025 07.08.00,Latch bolt record,,,,,,,,
9,20/06/2025 07.08.00,Latch bolt record,,,,,,,,
10,20/06/2025 07.08.00,,Guest Card,11524,nur hidayat,,thalia,20/06/2025 07.08.35,,
11,19/06/2025 23.24.00,Latch bolt record,,,,,,,,
12,19/06/2025 23.24.00,,Master Card,4,Master,,Administrator,18/02/2023 09.23.57,alvin,26/03/2025 11.42.05
13,19/06/2025 23.00.00,Latch bolt record,,,,,,,,
14,19/06/2025 23.00.00,,Master Card,4,Master,,Administrator,18/02/2023 09.23.57,alvin,26/03/2025 11.42.05
15,19/06/2025 18.57.00,Latch bolt record,,,,,,,,
16,19/06/2025 18.57.00,Latch bolt record,,,,,,,,
17,19/06/2025 18.57.00,,HSKP Card,7460,HK,,alvin,26/09/2024 11.19.37,alvin,01/03/2025 21.35.44
18,19/06/2025 17.33.00,Latch bolt record,,,,,,,,
19,19/06/2025 17.33.00,,HSKP Card,30,FRONTOFFICE,02,Administrator,18/02/2023 16.18.56,alvin,01/03/2025 21.34.53
20,19/06/2025 08.29.00,Latch bolt record,,,,,,,,
21,19/06/2025 08.29.00,Latch bolt record,,,,,,,,
22,19/06/2025 08.29.00,Latch bolt record,,,,,,,,
23,19/06/2025 08.29.00,Latch bolt record,,,,,,,,
24,19/06/2025 08.29.00,,HSKP Card,7460,HK,,alvin,26/09/2024 11.19.37,alvin,01/03/2025 21.35.44
25,18/06/2025 16.24.00,Latch bolt record,,,,,,,,
26,18/06/2025 16.16.00,Latch bolt record,,,,,,,,
27,18/06/2025 16.16.00,,HSKP Card,7460,HK,,alvin,26/09/2024 11.19.37,alvin,01/03/2025 21.35.44
28,18/06/2025 10.14.00,Latch bolt record,,,,,,,,
29,18/06/2025 10.14.00,,Guest Card,11507,yuyun,,danang,18/06/2025 01.01.34,,
30,18/06/2025 09.55.00,Latch bolt record,,,,,,,,
31,18/06/2025 09.55.00,,Guest Card,11507,yuyun,,danang,18/06/2025 01.01.34,,
32,18/06/2025 09.55.00,Latch bolt record,,,,,,,,
33,18/06/2025 09.55.00,Latch bolt record,,,,,,,,
34,18/06/2025 09.55.00,Latch bolt record,,,,,,,,
35,18/06/2025 09.55.00,Latch bolt record,,,,,,,,
36,18/06/2025 09.55.00,Exit Double Locked,,,,,,,,
37,18/06/2025 08.59.00,Double Locked record,,,,,,,,
