Opening Record Report (0208),,,,,,,,,,
Event Ord.,Time,Flag,Card Type,Card No.,Holder,ID No.,Issuer,Time Issued,Modifier,Time Modified
1,25/06/2025 15:25:00,,Clock Card,,,,,,,
2,25/06/2025 12:19:00,Double Locked record,,,,,,,,
3,25/06/2025 12:19:00,Latch bolt record,,,,,,,,
4,25/06/2025 12:19:00,Latch bolt record,,,,,,,,
5,25/06/2025 12:18:00,Latch bolt record,,,,,,,,
6,25/06/2025 12:18:00,Latch bolt record,,,,,,,,
7,25/06/2025 12:17:00,Latch bolt record,,,,,,,,
8,25/06/2025 12:17:00,Exit Double Locked,,,,,,,,
9,25/06/2025 09:17:00,Double Locked record,,,,,,,,
10,25/06/2025 09:17:00,Latch bolt record,,,,,,,,
11,25/06/2025 09:17:00,Latch bolt record,,,,,,,,
12,25/06/2025 09:17:00,Latch bolt record,,,,,,,,
13,25/06/2025 09:17:00,Latch bolt record,,,,,,,,
14,25/06/2025 09:17:00,,Guest Card,14558,yonnis,,tika,25/06/2025 09:16:50,,
15,24/06/2025 21:27:00,Latch bolt record,,,,,,,,
16,24/06/2025 21:27:00,Latch bolt record,,,,,,,,
17,24/06/2025 21:10:00,Latch bolt record,,,,,,,,
18,24/06/2025 21:10:00,Latch bolt record,,,,,,,,
19,24/06/2025 18:00:00,Latch bolt record,,,,,,,,
20,24/06/2025 17:14:00,Latch bolt record,,,,,,,,
21,24/06/2025 17:13:00,,HSKP Card,8830,HK,,Administrator,24/10/2024 13:46:02,,
22,24/06/2025 16:36:00,Latch bolt record,,,,,,,,
23,24/06/2025 16:36:00,Exit Double Locked,,,,,,,,
24,24/06/2025 12:45:00,Double Locked record,,,,,,,,
25,24/06/2025 12:45:00,Latch bolt record,,,,,,,,
26,24/06/2025 12:45:00,Latch bolt record,,,,,,,,
27,24/06/2025 12:45:00,Latch bolt record,,,,,,,,
28,24/06/2025 12:45:00,Latch bolt record,,,,,,,,
29,24/06/2025 12:44:00,Latch bolt record,,,,,,,,
30,24/06/2025 12:44:00,,Guest Card,14541,nawang,,tika,24/06/2025 12:43:07,,
31,24/06/2025 08:37:00,Latch bolt record,,,,,,,,
32,24/06/2025 08:37:00,Latch bolt record,,,,,,,,
33,24/06/2025 07:50:00,Latch bolt record,,,,,,,,
34,24/06/2025 07:50:00,,HSKP Card,8830,HK,,Administrator,24/10/2024 13:46:02,,
35,24/06/2025 05:25:00,Latch bolt record,,,,,,,,
36,24/06/2025 05:25:00,Latch bolt record,,,,,,,,
37,24/06/2025 05:25:00,Exit Double Locked,,,,,,,,
38,23/06/2025 21:59:00,Double Locked record,,,,,,,,
